zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60457,13858,0.10037550548815713,61708.0,0.887357483042286,0.3313054237987214,0.08084141060012373,0.15446483811095071,0.06888018148071767
60458,14887,0.11035369774919614,48700.0,0.8203130247867266,0.3823172748318818,0.0661448572373498,0.1019733215742476,0.036930878624186966
60459,29047,0.08854674655148391,54862.0,0.848693496746652,0.39945409689780065,0.0765839063566217,0.10188441551624587,0.026035378720277152
60460,1246,0.043076923076923075,59125.0,0.9373996789727127,0.43683589138134593,0.089728453364817,0.06493506493506493,0.05548996458087367
60461,4738,0.07894736842105263,99583.0,0.9611650485436893,0.10747539239159351,0.1189146049481245,0.2968874700718276,0.24368183027400905
60462,39714,0.05531356845112641,82349.0,0.938258548622652,0.24657009541054392,0.10139981892889477,0.23382547531165124,0.14896580541820462
60463,14484,0.08337055232990918,78472.0,0.9163214581607291,0.21799837852445725,0.07828123592469147,0.2527700207188542,0.1813350148635258
60464,9595,0.05802276277616603,75597.0,0.96529442417926,0.22797783933518007,0.07022160664819944,0.2565096952908587,0.17590027700831026
60465,17575,0.06098076516592687,57744.0,0.8564438122332859,0.35054760572387883,0.12550963306419377,0.1452554161004077,0.09960828203693341
60466,22204,0.1591101098282174,44967.0,0.8979913529093857,0.23738508682328907,0.09356486210418795,0.17425944841675178,0.09601634320735444
60467,27077,0.07133281591758979,93915.0,0.9505853676552055,0.22816207055923587,0.0830380526883377,0.26369845427001487,0.17768191855389515
60468,5934,0.12143256855064354,78724.0,0.9352881698685541,0.38055343995938057,0.12287382584412287,0.15435389692815435,0.05432850977405433
60469,5906,0.18874312314854,40461.0,0.8755502878428717,0.41511662237968705,0.03897254207263064,0.08827871272512548,0.023914968999114262
60470,673,0.1491442542787286,65469.0,0.8707280832095097,0.4645161290322581,0.060215053763440864,0.05161290322580645,0.012903225806451613
60471,14076,0.15664429530201343,52512.0,0.8616084114805342,0.2209872507355345,0.10232101994115723,0.21989757001198648,0.10918600849950964
60472,5226,0.1544235924932976,30574.0,0.857060849598163,0.32193567082005214,0.09504491451753115,0.06577803535207186,0.04607360185453492
60473,22517,0.14685739055049848,63149.0,0.8855531376293467,0.24813469792010565,0.07903598547375372,0.17748431825685043,0.10993727302740178
60474,903,0.1031390134529148,63077.0,0.9368770764119602,0.4401294498381877,0.06796116504854369,0.08737864077669903,0.032362459546925564
60475,9805,0.12597851811396324,43661.0,0.8951555328913819,0.4049623393885689,0.09289617486338798,0.0872840053167922,0.06513070447496677
